stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10366,3197,Karmen 3,,43.2206,-2.73289,3,,0,
10367,3968,Altzadi Plaza,,43.233,-2.84424,2,,0,
10368,4361,Iturrikoetxe,,43.2611,-2.79718,3,,0,
10369,4172,Zugazarte 38 Reparadoras,,43.3318,-3.01174,2,,0,
10370,4299,Ibinaga Los Angeles,,43.3971,-2.63366,5,,0,
10371,3859,Kukullaga,,43.2465,-2.88777,2,,0,
10372,3287,Txako,,43.1843,-2.89742,2,,0,
10373,5213,Mimetiz Udaletxea / Ayuntamiento,,43.2143,-3.13389,3,,0,
10374,3255,Arene Anbulatorioa,,43.1725,-2.92024,3,,0,
10375,1033,Gran Vía 46 Sota,,43.2635,-2.93702,1,,0,
10376,4356,Andra Mari Elkartegi,,43.2584,-2.79629,3,,0,
10377,4630,Zugarreta,,43.3131,-2.74693,3,,0,
10378,3810,Arostegieta,,43.1296,-2.74549,3,,0,
10379,4018,Aiartza - Sarria,,43.1841,-2.6044,5,,0,
10381,0301,Zabalbide Ur Depositua / Depósito Aguas,,43.258,-2.91097,1,,0,
10383,3756,Zulaibar,,43.107,-2.75662,4,,0,
10384,4488,Zubitxu Hilerria / Cementerio,,43.4086,-2.90311,3,,0,
10385,5364,La Avanzada Ertzaintza,,43.3092,-2.95875,2,,0,
10386,3303,Otsategi,,43.4132,-2.81367,4,,0,
10387,4091,Etxebarrria,,43.1785,-3.03718,3,,0,
10388,3953,Olabarrieta Poblado Firestone,,43.2373,-2.87119,2,,0,
10389,4980,Landeta San Juan,,43.3378,-3.04624,2,,0,
10390,5316,Magdalenabidea Zubietakoerrota,,43.3177,-2.96829,2,,0,
10391,5043,Kueto Gran Vía,,43.3082,-3.00194,2,,0,
10392,5010,Urioste,,43.3093,-3.04132,2,,0,
10393,4633,Errota,,43.2988,-2.74478,3,,0,
10394,3364,Resurrección María Azkue 12,,43.2909,-2.99101,2,,0,
10395,4496,Agarrabesko,,43.4206,-2.91269,3,,0,
10396,3546,Kareaga Goikoa 12 El Calero,,43.2385,-2.89717,2,,0,
10397,3355,Beurko Av. Miranda 2,,43.2986,-2.99368,2,,0,
10398,4979,Parkea / Parque Arkupeak / Soportales,,43.3283,-3.03214,2,,0,
10399,4805,Kamiñazpi,,43.3214,-2.43356,5,,0,
10400,5053,Rivas Gran Via,,43.3079,-2.99364,2,,0,
10401,4132,Mungia Bidea,,43.4046,-2.94341,3,,0,
10402,3375,Aldaiturriaga,,43.0373,-3.00636,4,,0,
10403,4897,La Florida,,43.3178,-3.02634,2,,0,
10404,3596,Zubiaur´Tar Kepa Udal Azoka,,43.4196,-2.72795,4,,0,
10405,3196,Tantorta,,43.2255,-2.74372,3,,0,
10406,3564,Mercabilbao,,43.2312,-2.88539,2,,0,
